index,thickness,intensity
0,2.7440567,189.47583
1,2.401164,141.57498
2,2.1880908,126.16292
3,3.675511,225.61177
4,1.7039368,132.1229
5,2.5635448,157.37874
6,3.1604092,190.98831
7,2.71621,173.37923
8,2.4603343,135.7932
9,2.6709774,185.28677
10,2.7994905,133.60179
11,2.9530914,209.68442
12,2.3118978,126.93142
13,2.1575527,120.8077
14,1.675695,95.47652
15,1.8592751,115.635025
16,2.1992006,117.67485
17,2.3516333,163.40501
18,2.3021808,131.91687
19,1.6018597,108.10167
20,1.9904826,122.50467
21,2.1517482,94.72457
22,2.9257493,168.71552
23,2.648513,185.30562
24,2.603403,139.63016
25,2.4925337,174.10272
26,2.6660771,166.31914
27,3.5421147,237.50986
28,2.4920917,183.04826
29,2.406365,205.99646
30,3.201352,220.21088
31,2.11523,136.87094
32,2.1707048,146.18462
33,2.8216577,162.96327
34,3.0271993,225.49603
35,2.4925532,164.89601
36,2.5896037,181.32681
37,2.6489377,186.46451
38,1.6718509,95.0245
39,2.066968,102.28984
40,2.3351758,127.849045
41,2.827883,214.44577
42,2.1660967,133.57996
43,2.1831958,115.101425
44,1.8288403,100.812355
45,2.0849752,132.51509
46,2.0224662,125.8786
47,3.8846748,244.59937
48,2.2629097,152.92574
49,3.4859033,222.3048
50,1.541615,77.29625
51,2.5150797,159.75174
52,3.1671093,202.62599
53,2.3638806,173.3799
54,2.504597,185.55023
55,2.3684058,171.52704
56,2.4823298,140.34396
57,1.9058837,93.05023
58,2.15632,121.71784
59,2.4739277,163.48843
60,2.662823,183.3432
61,2.7907848,196.77359
62,2.6272814,166.12643
63,2.2369478,113.59195
64,3.316251,206.17836
65,2.0603087,143.45657
66,2.6813428,171.79065
67,3.6372082,226.7081
68,2.6173606,185.75366
69,2.4039748,157.08319
70,2.7848186,195.57225
71,3.2468407,206.57684
72,2.1510172,133.86707
73,2.6045108,195.1573
74,2.127779,116.11218
75,3.294397,195.49411
76,1.7890052,95.329475
77,1.897301,108.255394
78,3.149178,240.10812
79,3.8350053,243.81056
80,2.9616027,218.57469
81,1.8927858,117.19336
82,2.4117725,133.04263
83,2.3502884,185.89984
84,1.8380516,108.149536
85,2.3368368,150.83035
86,3.6754985,244.8433
87,1.890635,111.22051
88,2.2593176,142.78206
89,3.3188968,189.91327
90,2.544648,193.17038
91,1.6547425,93.20125
92,2.4261053,191.80444
93,2.35052,126.34689
94,2.454838,163.1398
95,2.9430268,204.36774
96,2.9587362,177.499
97,2.5225356,183.22133
98,1.4478085,82.4996
99,2.6704502,167.21037
100,1.8131973,89.45781
101,2.8495984,190.95215
102,2.3802724,152.1831
103,1.5594537,89.42486
104,1.8839173,107.68715
105,3.0847735,209.88132
106,1.9292428,101.22856
107,1.4968755,87.86853
108,3.46484,242.82996
109,2.200123,123.28902
110,2.9318683,219.88191
111,2.3605576,143.32559
112,2.793502,159.19658
113,2.0383255,111.99631
114,2.0213387,135.81339
115,2.289772,157.09875
116,2.1802382,124.54776
117,2.7292173,171.42696
118,2.240554,121.97452
119,1.3375692,79.721985
120,1.9374843,118.91459
121,2.531793,115.760956
122,1.7822345,104.92966
123,1.8752768,119.49243
124,2.4001548,176.6822
125,2.3934357,152.13123
126,2.3487473,158.11798
127,2.8278298,212.65822
128,1.8259019,117.10281
129,2.9782326,199.9153
130,2.4442527,201.8525
131,2.9627557,184.022
132,1.9344826,120.10428
133,2.942902,207.54886
134,2.4497762,160.34357
135,2.165594,150.79233
136,2.0873575,129.42844
137,2.8723936,201.10078
138,2.774522,169.10672
139,2.7799325,225.47229
140,1.8611015,121.57534
141,1.8343797,143.57956
142,2.3256812,134.82498
143,3.249642,196.90617
144,2.05601,115.06267
145,2.4355898,114.03386
146,2.7401462,213.32469
147,2.880424,203.68953
148,2.675118,210.77922
149,1.9818957,105.54047
150,1.5125284,83.18947
151,2.4704275,183.37152
152,2.791639,215.99081
153,2.2635098,150.13144
154,2.5423276,150.4874
155,2.8921149,175.89618
156,3.0661063,173.86993
157,1.3502405,71.03019
158,2.120758,131.7554
159,2.5691426,131.59761
160,2.574965,154.36882
161,1.376542,80.20207
162,2.3702693,132.31476
163,3.4438117,239.50887
164,2.307951,128.44672
165,2.4479403,169.83447
166,3.46118,245.30855
167,3.0044672,202.90263
168,4.0817204,247.64809
169,2.2490551,114.90869
170,2.8603978,134.79999
171,1.9343511,95.14589
172,2.2731671,130.92322
173,1.9538304,96.93693
174,1.8301136,105.115974
175,2.720175,180.36877
176,2.6702087,166.7998
177,2.7459645,205.86679
178,1.6773565,97.02927
179,2.0808153,139.19232
180,4.386713,250.03426
181,1.9784613,113.00866
182,2.756389,177.78818
183,1.7122948,97.67011
184,1.983021,118.923874
185,1.787989,98.684494
186,3.0811732,216.63792
187,2.3415918,162.10686
188,2.1752367,160.71838
189,2.1469061,123.91801
190,2.8824427,209.45396
191,2.2770467,115.05073
192,2.6429703,171.2128
193,3.0291896,171.55315
194,2.3039572,190.66765
195,2.6688666,202.59666
196,1.8543212,122.4122
197,3.0841975,228.93054
198,2.4729133,167.09131
199,2.8388467,222.37907
200,1.7799125,99.3481
201,1.3939569,83.04564
202,2.1929069,116.14368
203,2.298364,180.70924
204,2.6513133,171.54453
205,1.6228478,88.471725
206,1.8209126,161.53003
207,2.725428,209.64699
208,3.1014168,204.65804
209,1.7364963,161.08069
210,2.5227883,191.80043
211,1.8571024,128.76859
212,2.415538,150.88821
213,1.9759307,101.332184
214,2.353188,153.60683
215,2.1046402,124.564026
216,3.2112522,216.65915
217,2.8109293,168.44531
218,2.5243795,155.51508
219,1.6951177,97.59097
220,1.8913226,125.83833
221,1.9465001,172.06088
222,2.1079469,123.496155
223,1.6948965,89.17687
224,3.796875,242.67352
225,2.5005527,119.097404
226,3.8202298,234.1376
227,2.8656583,176.81822
228,2.319591,142.71468
229,3.5259511,196.58711
230,1.306593,85.71637
231,2.660176,205.31996
232,2.0189624,123.15901
233,2.4749296,170.70247
234,3.6566892,242.02794
235,1.6125351,109.0126
236,1.7370733,98.287125
237,2.0567524,155.71341
238,2.1143975,137.8364
239,2.4814417,181.2416
240,3.2234473,215.03523
241,2.0041497,115.93266
242,3.03433,214.27661
243,2.4587536,149.47577
244,2.0942955,132.31903
245,2.1320674,110.26956
246,2.6677146,172.23897
247,1.9337842,95.30504
248,2.5781906,126.370224
249,3.0752082,222.9387
250,1.7695277,125.387955
251,1.8842391,100.71126
252,2.285447,158.81049
253,1.8379023,117.92363
254,2.246782,159.17938
255,2.672758,173.36588
256,1.7790539,92.85447
257,2.6725392,202.21881
258,2.5111535,122.02954
259,3.4951067,219.60051
260,1.7215306,98.58858
261,2.6243145,208.33539
262,2.6680322,165.08713
263,2.1192489,106.844574
264,2.530057,154.2976
265,1.7776185,100.18899
266,2.6638932,188.64206
267,3.688703,243.6511
268,2.0107713,109.01035
269,2.5628104,155.34961
270,2.677918,181.31012
271,2.5627716,163.553
272,2.2209716,105.84877
273,2.1006649,112.278885
274,3.3639677,230.90086
275,1.5867505,82.93185
276,3.2753692,218.65703
277,2.897961,176.23526
278,1.9224808,100.325
279,1.9579846,114.01759
280,2.1752985,145.84946
281,2.525773,202.82799
282,3.3513806,225.70323
283,1.6803466,94.075455
284,2.4866602,123.593864
285,3.1081424,212.94756
286,2.3842063,159.86653
287,2.4005497,152.50122
288,2.2957144,160.45828
289,1.8542498,94.547615
290,3.8804283,239.92276
291,2.116012,141.3689
292,3.759777,236.67036
293,3.3470438,229.80121
294,2.9405916,194.73648
295,1.643399,91.196075
296,2.3146374,104.545456
297,1.9389849,101.42033
298,2.8546162,170.27571
299,3.1584296,213.05682
300,2.4130611,156.64748
301,2.441295,150.56706
302,2.196838,133.96317
303,2.513597,189.95615
304,4.265783,250.61267
305,2.5814137,148.61612
306,1.1395257,73.59965
307,2.8975751,185.07428
308,2.5793338,168.10489
309,2.17946,112.33934
310,2.6289449,139.42242
311,1.7853215,115.072754
312,1.9757168,105.8235
313,2.3115625,178.66748
314,2.9336705,175.05328
315,2.4576137,142.64264
316,3.356131,215.41545
317,1.7252347,90.44487
318,2.2065399,147.34845
319,1.4801308,76.530136
320,3.261731,225.03166
321,2.2678044,149.70903
322,2.9634964,150.83075
323,2.1827054,130.26718
324,2.9779096,218.36345
325,3.942403,249.18434
326,2.9316452,194.31902
