Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,Depression,Trait_anxiety,State_anxiety,Sex
138,96,NA,51,138,NA,24,NA,Male
101,99,107,116,132,7,41,40,Female
143,118,38,68,90,4,37,44,Male
104,106,64,114,101,8,54,NA,Male
115,NA,103,86,118,8,39,67,Female
110,113,61,54,149,5,51,38,Male
109,58,99,55,110,7,40,32,Female
92,57,94,72,114,0,32,41,Male
127,108,108,35,86,0,22,26,Male
74,100,61,87,89,7,35,31,Female
124,114,100,110,129,8,43,39,Female
131,107,99,92,121,3,33,25,Male
133,114,114,NA,131,0,23,32,Male
117,126,139,47,128,0,23,23,Male
99,107,124,62,139,1,27,28,Male
126,NA,112,83,132,4,45,28,Male
97,90,102,106,109,14,58,56,Female
132,126,131,72,131,7,39,44,Male
98,135,106,84,107,9,43,56,Male
90,79,79,76,109,4,38,35,Male
116,104,87,71,97,NA,35,28,Male
86,93,93,74,126,11,37,47,Male
112,125,116,87,116,NA,43,43,Male
119,91,94,94,116,9,36,42,Female
110,120,114,108,119,NA,40,32,Male
122,108,63,79,117,10,43,38,Female
137,131,91,61,119,2,30,36,Male
123,119,96,70,118,2,29,41,Male
87,99,75,68,81,9,42,42,Male
135,126,90,91,132,8,35,37,Female
112,90,87,77,143,1,23,51,Female
113,121,53,100,84,17,64,61,Male
133,106,66,NA,108,5,40,28,Male
128,88,103,107,115,6,42,35,Male
138,120,79,54,90,8,39,32,Female
109,94,67,102,105,7,46,50,Female
116,108,110,76,125,NA,39,38,Male
119,107,81,60,130,8,36,34,Male
NA,126,92,72,110,NA,38,27,Male
99,64,72,81,96,17,54,41,Male
126,124,107,85,132,4,37,45,Male
138,118,97,60,133,NA,29,29,Male
135,NA,108,63,115,NA,24,24,Male
120,117,85,119,122,8,61,28,Female
109,100,100,85,99,2,34,42,Male
121,104,84,98,111,9,44,50,Male
112,102,83,105,125,NA,60,62,Male
125,74,95,79,109,14,45,54,Female
108,97,118,128,113,13,47,53,Female
132,108,114,76,115,NA,34,31,Female
107,94,34,87,128,9,46,32,Male
106,93,54,95,110,11,54,36,Female
108,141,NA,103,143,5,44,NA,Male
118,118,76,84,94,7,48,52,Male
142,121,94,48,126,NA,32,27,Male
131,140,135,60,118,NA,29,25,Male
120,106,82,83,75,7,38,30,Male
97,NA,87,106,139,2,32,27,Female
100,122,94,90,137,6,37,29,Male
122,102,89,61,115,6,36,42,Male
106,NA,127,52,135,1,23,40,Male
138,NA,116,52,125,4,27,24,Male
117,67,44,72,73,18,57,53,Male
119,103,NA,81,86,4,36,39,Male
127,131,118,63,146,3,33,31,Male
111,108,92,85,142,24,51,55,Male
124,136,67,62,101,6,42,43,Male
135,114,107,70,121,5,29,32,Male
121,141,89,NA,154,0,50,36,Male
112,99,114,99,113,9,38,46,Male
124,129,113,110,127,12,40,51,Male
129,112,105,105,123,10,51,27,Male
107,121,72,NA,107,1,30,27,Male
118,132,80,50,110,3,37,27,Male
129,93,101,74,129,3,35,32,Male
120,143,118,112,141,27,60,68,Male
135,116,136,70,144,NA,35,61,Male
134,114,114,92,134,7,38,42,Female
131,78,119,115,152,NA,56,61,Male
118,135,39,81,122,6,38,40,Male
90,143,69,101,75,NA,42,40,Male
109,83,104,84,NA,NA,37,34,Male
145,87,136,68,116,NA,NA,26,Male
125,95,113,61,100,13,30,34,Female
145,119,149,NA,142,0,25,27,Female
122,NA,99,59,100,1,23,35,Male
102,118,113,82,133,7,44,40,Female
98,114,91,96,131,3,37,32,Female
130,80,130,102,120,21,39,63,Male
127,134,89,76,119,3,39,43,Female
107,126,NA,34,73,NA,34,27,Male
120,98,54,NA,118,5,36,36,Male
124,116,32,98,121,22,71,48,Female
128,116,87,108,136,9,47,53,Female
145,111,91,62,119,4,30,40,Female
100,103,121,152,158,26,71,79,Male
122,88,118,114,118,14,46,54,Male
126,131,102,123,97,NA,51,70,Male
113,106,92,100,74,10,43,69,Male
107,127,67,60,98,3,26,26,Male
124,110,88,68,111,8,42,37,Male
82,88,81,89,126,3,39,57,Male
123,53,125,95,114,2,42,37,Male
124,112,NA,115,133,5,45,56,Male
136,86,100,71,NA,6,44,56,Male
121,129,88,100,123,5,36,33,Male
112,93,78,98,87,NA,NA,46,Male
108,108,NA,73,NA,3,37,NA,Male
140,139,108,55,116,0,25,NA,Male
135,124,96,61,116,1,28,34,Male
114,NA,129,104,148,2,38,43,Male
118,86,117,94,104,NA,40,35,Male
132,104,105,74,131,NA,28,26,Male
139,88,113,93,124,3,40,35,Female
111,136,104,85,120,6,37,38,Male
132,108,125,46,113,2,29,39,Male
125,117,108,61,NA,3,35,34,Male
136,97,116,50,NA,0,25,22,Male
124,127,114,51,130,3,32,25,Male
107,113,55,NA,110,7,53,45,Male
111,102,59,50,119,5,33,31,Male
129,112,112,98,133,13,32,55,Female
125,116,83,83,111,3,39,41,Male
137,126,144,64,108,7,31,28,Male
131,89,93,50,111,3,28,23,Female
119,78,95,98,102,2,54,30,Male
126,115,104,104,128,6,44,45,Female
133,107,95,NA,116,4,46,54,Female
130,109,147,64,90,2,32,27,Male
129,126,73,93,93,4,NA,34,Male
97,84,8,109,124,22,68,60,Female
135,112,103,110,143,4,39,39,Male
